,Date,Close/Last,Volume,Open,High,Low
318,2019-02-19,170.93,18958570,169.71,171.44,169.49
319,2019-02-15,170.42,24603320,171.25,171.7,169.75
320,2019-02-14,170.8,21785180,169.71,171.2615,169.38
321,2019-02-13,170.18,22389660,171.39,172.48,169.92
322,2019-02-12,170.89,22224400,170.1,171.0,169.7
323,2019-02-11,169.43,20940020,171.05,171.21,169.25
324,2019-02-08,170.41,23793830,168.99,170.66,168.42
325,2019-02-07,170.94,31644240,172.4,173.94,170.34
326,2019-02-06,174.24,28204640,174.65,175.57,172.8531
327,2019-02-05,174.18,36054570,172.86,175.08,172.3501
328,2019-02-04,171.25,31384720,167.41,171.655,167.28
329,2019-02-01,166.52,32644590,166.96,168.98,165.93
330,2019-01-31,166.44,40613260,166.11,169.0,164.56
331,2019-01-30,165.25,60800480,163.25,166.15,160.23
332,2019-01-29,154.68,39914850,156.25,158.13,154.11
333,2019-01-28,156.3,26147280,155.79,156.33,153.66
334,2019-01-25,157.76,33508960,155.48,158.13,154.32
335,2019-01-24,152.7,25418110,154.11,154.48,151.74
336,2019-01-23,153.92,23046560,154.15,155.14,151.7
337,2019-01-22,153.3,30273990,156.41,156.73,152.62
338,2019-01-18,156.82,33259460,157.5,157.88,155.9806
339,2019-01-17,155.86,29616190,154.2,157.66,153.26
340,2019-01-16,154.94,30483120,153.08,155.88,153.0
341,2019-01-15,153.07,28449940,150.27,153.39,150.05
342,2019-01-14,150.0,32018540,150.85,151.27,149.22
343,2019-01-11,152.29,26924630,152.88,153.7,151.51
344,2019-01-10,153.8,35661200,152.5,153.97,150.86
345,2019-01-09,153.31,45034370,151.29,154.53,149.63
346,2019-01-08,150.75,40622910,149.56,151.82,148.52
347,2019-01-07,147.93,54571440,148.7,148.83,145.9
348,2019-01-04,148.26,57423650,144.53,148.5499,143.8
349,2019-01-03,142.19,91106840,143.98,145.72,142.0
350,2019-01-02,157.92,35637070,154.89,158.85,154.23
351,2018-12-31,157.74,34499390,158.53,159.36,156.48
352,2018-12-28,156.23,41740600,157.5,158.52,154.55
353,2018-12-27,156.15,51608850,155.84,156.77,150.07
354,2018-12-26,157.17,58133850,148.3,157.23,146.72
355,2018-12-24,146.83,37169230,148.15,151.55,146.59
356,2018-12-21,150.73,95497900,156.86,158.16,149.63
357,2018-12-20,156.83,64398230,160.4,162.11,155.3
358,2018-12-19,160.89,47597670,166.0,167.45,159.09
359,2018-12-18,166.07,33753490,165.38,167.53,164.39
360,2018-12-17,163.94,43250420,165.45,168.35,162.73
361,2018-12-14,165.48,40620360,169.0,169.08,165.28
362,2018-12-13,170.95,31754210,170.49,172.57,169.55
363,2018-12-12,169.1,35474680,170.4,171.92,169.02
364,2018-12-11,168.63,45968040,171.66,171.79,167.0
365,2018-12-10,169.6,61759000,165.0,170.09,163.33
366,2018-12-07,168.49,41678680,173.49,174.49,168.3
367,2018-12-06,174.72,42704910,171.76,174.78,170.42
368,2018-12-04,176.69,41141250,180.95,182.3899,176.27
369,2018-12-03,184.82,40537700,184.46,184.94,181.21
370,2018-11-30,178.58,39424260,180.29,180.33,177.03
371,2018-11-29,179.55,41523580,182.66,182.8,177.7
372,2018-11-28,180.94,45941750,176.73,181.29,174.93
373,2018-11-27,174.24,41156140,171.51,174.77,170.88
374,2018-11-26,174.62,44662320,174.24,174.95,170.26
375,2018-11-23,172.29,23623970,174.94,176.595,172.1
376,2018-11-21,176.78,31096240,179.73,180.27,176.55
377,2018-11-20,176.98,67678680,178.37,181.47,175.51
